PLAYER_ID,DISPLAY_FIRST_LAST,POSITION
1628371,Jonathan Isaac,Forward
1631093,Jaden Ivey,Guard
1630543,Isaiah Jackson,Forward
1628382,Justin Jackson,Forward
1631245,Quenton Jackson,Guard
202704,Reggie Jackson,Guard
1641713,GG Jackson II,Forward
1641748,Andre Jackson Jr.,Guard
1628991,Jaren Jackson Jr.,Forward-Center
1631218,Trayce Jackson-Davis,Forward
2544,LeBron James,Forward
1631170,Jaime Jaquez Jr.,Guard
1630610,DeJon Jarreau,Guard
1629610,DaQuan Jeffries,Guard-Forward
1641998,Trey Jemison,Center
1629660,Ty Jerome,Guard-Forward
1630198,Isaiah Joe,Guard
1629661,Cameron Johnson,Forward
1630552,Jalen Johnson,Forward
201949,James Johnson,Forward
1629640,Keldon Johnson,Forward-Guard
1630553,Keon Johnson,Guard
1641749,Keyontae Johnson,Forward
203999,Nikola Jokic,Center
1641732,Colby Jones,Guard
1627745,Damian Jones,Center
1630529,Herbert Jones,Forward
1630222,Mason Jones,Guard
1630200,Tre Jones,Guard
1626145,Tyus Jones,Guard
1627884,Derrick Jones Jr.,Forward
201599,DeAndre Jordan,Center
202709,Cory Joseph,Guard
1631107,Nikola Jovic,Forward
1630548,Johnny Juzang,Guard
1628379,Luke Kennard,Guard
1631117,Walker Kessler,Center
1630296,Braxton Key,Forward
1630557,Corey Kispert,Forward
1628467,Maxi Kleber,Forward
1628995,Kevin Knox II,Forward
1629723,John Konchar,Guard
1627788,Furkan Korkmaz,Guard-Forward
1628436,Luke Kornet,Center-Forward
1630249,Vit Krejci,Guard
1630228,Jonathan Kuminga,Forward
1628398,Kyle Kuzma,Forward
1631222,Jake LaRavia,Forward
203897,Zach LaVine,Guard
1629111,Jock Landale,Center
1630639,AJ Lawson,Guard
1627747,Caris LeVert,Guard
1630240,Saben Lee,Guard
203458,Alex Len,Center
202695,Kawhi Leonard,Forward
1641721,Maxwell Lewis,Forward
1630184,Kira Lewis Jr.,Guard
1630604,E.J. Liddell,Forward
203081,Damian Lillard,Guard
1629642,Nassir Little,Forward-Guard
1641726,Dereck Lively II,Center
1630587,Isaiah Livers,Forward
1641753,Chris Livingston,Forward
1631254,Kenneth Lofton Jr.,Forward
1626172,Kevon Looney,Forward
201572,Brook Lopez,Center
201577,Robin Lopez,Center
201567,Kevin Love,Forward-Center
200768,Kyle Lowry,Guard
1641754,Seth Lundy,Guard-Forward
1626168,Trey Lyles,Forward
1630177,Theo Maledon,Guard
1630572,Sandro Mamukelashvili,Forward-Center
1629611,Terance Mann,Guard-Forward
1630544,Tre Mann,Guard
1626246,Boban Marjanovic,Center
