GAME_ID,HOME_TEAM_NAME,AWAY_TEAM_NAME
2022300475,SXF,CLC
0022301019,NYK,BKN
2022300476,SCW,STO
0022301019,BKN,NYK
2022300477,RGV,SBL
2022300473,GRG,MCC
2022300475,CLC,SXF
2022300472,GBO,OKL
2022300478,TEX,ONT
0022301022,WAS,TOR
0022301021,CHA,ATL
0022301024,UTA,HOU
2022300472,OKL,GBO
0022301025,PHX,SAS
0022301026,POR,DEN
0022301023,BOS,CHI
0022301020,ORL,SAC
0022301023,CHI,BOS
2022300474,AUS,RCR
0022301020,SAC,ORL
2022300474,RCR,AUS
2022300471,WIS,RAP
0022301022,TOR,WAS
0022301025,SAS,PHX
0022301017,POR,LAC
0022301011,DET,BOS
2022300469,GBO,OKL
0022301014,CLE,MIN
0022301016,GSW,IND
0022301012,TOR,OKC
0022301015,SAS,MEM
0022301015,MEM,SAS
0022301018,PHI,LAL
2022300469,OKL,GBO
2022300468,WCB,CCG
0022301014,MIN,CLE
0022301013,MIA,NOP
0022301011,BOS,DET
0022301018,LAL,PHI
0022301012,OKC,TOR
2022300468,CCG,WCB
0022301017,LAC,POR
2022300470,GLI,SLC
0022301016,IND,GSW
2022300470,SLC,GLI
0022301013,NOP,MIA
0022301008,DAL,UTA
0022301005,WAS,SAC
0022301004,ORL,NOP
0022301009,NYK,DEN
0022301006,HOU,CHI
0022301004,NOP,ORL
2022300459,LIN,FWN
0022301009,DEN,NYK
2022300467,STO,SCW
2022300461,DEL,MCC
2022300463,OSC,BHM
2022300460,MNE,WES
2022300461,MCC,DEL
2022300460,WES,MNE
0022301005,SAC,WAS
2022300467,SCW,STO
0022301007,BKN,MIL
2022300462,MXC,AUS
2022300462,AUS,MXC
2022300463,BHM,OSC
2022300464,MHU,CLC
2022300466,ONT,RCR
0022301006,CHI,HOU
2022300465,RGV,SBL
2022300464,CLC,MHU
2022300465,SBL,RGV
2022300459,FWN,LIN
2022300466,RCR,ONT
0022301010,PHX,ATL
0022301008,UTA,DAL
0022301007,MIL,BKN
0022301010,ATL,PHX
0022300998,BOS,MIL
2022300458,WIS,CCG
0022301003,LAC,POR
0022301000,UTA,OKC
0022300997,IND,DET
2022300457,FWN,LIN
0022300996,MIA,CLE
0022301001,MEM,GSW
0022300999,TOR,SAC
0022301002,PHI,PHX
0022300996,CLE,MIA
2022300458,CCG,WIS
0022301002,PHX,PHI
0022300997,DET,IND
0022301000,OKC,UTA
0022300999,SAC,TOR
0022301001,GSW,MEM
2022300457,LIN,FWN
0022301003,POR,LAC
0022300998,MIL,BOS
0022300993,NOP,BKN
0022300994,SAS,DAL
2022300455,RGV,AUS
0022300991,CHA,ORL
2022300454,SXF,MHU
0022300995,DEN,MIN
2022300453,OSC,BHM
2022300456,RCR,ONT
0022300992,HOU,WAS
0022300993,BKN,NOP
0022300991,ORL,CHA
2022300452,WES,RAP
0022300992,WAS,HOU
0022300995,MIN,DEN
2022300451,GRG,SLC
2022300456,ONT,RCR
2022300455,AUS,RGV
2022300452,RAP,WES
2022300451,SLC,GRG
0022300994,DAL,SAS
2022300453,BHM,OSC
2022300454,MHU,SXF
0022300983,CLE,IND
0022300984,DET,BOS
0022300985,MIA,PHI
2022300449,DEL,FWN
2022300449,FWN,DEL
0022300989,MEM,SAC
0022300989,SAC,MEM
0022300988,NYK,GSW
0022300987,MIN,UTA
0022300986,CHI,POR
0022300987,UTA,MIN
2022300450,MCC,TEX
0022300990,LAL,ATL
0022300985,PHI,MIA
0022300990,ATL,LAL
0022300986,POR,CHI
0022300984,BOS,DET
0022300988,GSW,NYK
2022300450,TEX,MCC
0022300983,IND,CLE
0022300978,DAL,DEN
0022300982,ATL,LAC
2022300446,MXC,IWA
2022300447,CPS,SXF
0022300981,BKN,SAS
2022300448,STO,RCR
0022300979,ORL,TOR
0022300980,WAS,BOS
0022300977,DET,MIA
2022300444,CCG,AUS
0022300977,MIA,DET
0022300981,SAS,BKN
2022300442,GBO,MNE
2022300445,CLC,RAP
2022300443,OKL,MHU
2022300447,SXF,CPS
2022300445,RAP,CLC
0022300976,MIL,PHX
0022300982,LAC,ATL
0022300979,TOR,ORL
2022300448,RCR,STO
0022300978,DEN,DAL
0022300976,PHX,MIL
0022300980,BOS,WAS
2022300444,AUS,CCG
2022300442,MNE,GBO
2022300443,MHU,OKL
2022300446,IWA,MXC
2022300441,AUS,CCG
2022300435,BHM,DEL
2022300440,GLI,SCW
2022300441,CCG,AUS
0022300970,NOP,POR
0022300969,PHI,CHA
0022300971,CHI,WAS
2022300439,RGV,ONT
2022300437,MXC,IWA
2022300440,SCW,GLI
2022300434,GRG,SLC
0022300973,LAL,GSW
0022300973,GSW,LAL
0022300972,MEM,OKC
2022300436,LIN,OSC
0022300974,MIN,UTA
2022300438,MCC,WIS
0022300971,WAS,CHI
2022300434,SLC,GRG
0022300975,SAC,NYK
0022300968,IND,BKN
0022300974,UTA,MIN
0022300967,CLE,HOU
2022300436,OSC,LIN
0022300969,CHA,PHI
0022300972,OKC,MEM
2022300439,ONT,RGV
0022300975,NYK,SAC
2022300438,WIS,MCC
0022300970,POR,NOP
2022300437,IWA,MXC
0022300968,BKN,IND
2022300435,DEL,BHM
0022300967,HOU,CLE
2022300427,DEL,BHM
0022300962,MIA,DET
2022300429,OKL,MHU
2022300426,RAP,CLC
2022300433,GLI,SCW
0022300966,ATL,UTA
2022300426,CLC,RAP
2022300428,LIN,OSC
2022300433,SCW,GLI
0022300965,DEN,SAS
2022300430,WCB,CPS
0022300964,NOP,LAC
2022300428,OSC,LIN
0022300965,SAS,DEN
0022300966,UTA,ATL
2022300431,WIS,MCC
2022300431,MCC,WIS
0022300963,ORL,TOR
0022300961,CHA,PHX
0022300961,PHX,CHA
2022300432,RCR,SBL
0022300963,TOR,ORL
2022300427,BHM,DEL
0022300962,DET,MIA
2022300430,CPS,WCB
2022300429,MHU,OKL
0022300964,LAC,NOP
2022300432,SBL,RCR
2022300421,MNE,GBO
0022300955,BOS,PHX
0022300956,LAC,CHI
0022300957,WAS,HOU
0022300958,MIL,PHI
2022300423,AUS,TEX
2022300423,TEX,AUS
2022300425,RGV,ONT
0022300957,HOU,WAS
0022300959,DAL,OKC
0022300959,OKC,DAL
2022300424,WCB,GRG
0022300958,PHI,MIL
0022300956,CHI,LAC
2022300425,ONT,RGV
2022300421,GBO,MNE
2022300422,SXF,MXC
2022300424,GRG,WCB
0022300955,PHX,BOS
0022300960,NYK,POR
0022300960,POR,NYK
2022300422,MXC,SXF
2022300418,RAP,OSC
0022300946,DET,TOR
0022300951,CLE,NOP
0022300953,ATL,POR
0022300947,BKN,ORL
0022300949,MIA,DEN
0022300948,CHI,IND
0022300950,MEM,CHA
0022300947,ORL,BKN
2022300420,WES,SBL
0022300953,POR,ATL
0022300950,CHA,MEM
2022300418,OSC,RAP
2022300419,OKL,IWA
2022300417,MNE,DEL
0022300951,NOP,CLE
0022300949,DEN,MIA
2022300419,IWA,OKL
0022300952,DAL,GSW
0022300946,TOR,DET
2022300420,SBL,WES
0022300954,SAC,LAL
0022300948,IND,CHI
2022300417,DEL,MNE
0022300952,GSW,DAL
0022300954,LAL,SAC
2022300411,CPS,FWN
0022300939,NYK,PHI
0022300943,UTA,BOS
0022300942,HOU,SAS
0022300940,WAS,MEM
2022300410,STO,ONT
0022300944,MIN,LAC
2022300407,CLC,GBO
2022300410,ONT,STO
0022300940,MEM,WAS
0022300941,OKC,IND
0022300942,SAS,HOU
0022300945,MIL,SAC
2022300414,GRG,WCB
0022300943,BOS,UTA
2022300413,IWA,OKL
2022300408,BHM,LIN
2022300409,WIS,SLC
0022300939,PHI,NYK
0022300944,LAC,MIN
2022300408,LIN,BHM
2022300414,WCB,GRG
2022300412,SXF,MXC
2022300416,RGV,SCW
2022300413,OKL,IWA
2022300409,SLC,WIS
0022300945,SAC,MIL
2022300416,SCW,RGV
2022300412,MXC,SXF
2022300415,RCR,TEX
0022300941,IND,OKC
2022300411,FWN,CPS
2022300407,GBO,CLC
2022300415,TEX,RCR
0022300936,SAS,GSW
0022300933,CHA,DET
2022300406,WES,SBL
0022300933,DET,CHA
2022300406,SBL,WES
0022300935,DAL,CHI
0022300934,CLE,PHX
0022300937,DEN,TOR
0022300938,POR,BOS
