PLAYER_NAME,TEAM_NAME,Efficiency_HOME,LOCATION_HOME,Efficiency_AWAY,LOCATION_AWAY,Efficiency_DIFF
Omer Yurtseven,Utah Jazz,7.95,HOME,6.88,AWAY,1.0700000000000003
Anthony Black,Orlando Magic,6.17,HOME,5.1,AWAY,1.0700000000000003
Javon Freeman-Liberty,Toronto Raptors,8.57,HOME,7.5,AWAY,1.0700000000000003
Gary Payton II,Golden State Warriors,7.12,HOME,8.19,AWAY,1.0699999999999994
Doug McDermott,San Antonio Spurs,5.86,HOME,4.8,AWAY,1.0600000000000005
Daniel Theis,LA Clippers,10.17,HOME,9.11,AWAY,1.0600000000000005
Jordan Hawkins,New Orleans Pelicans,5.94,HOME,7.0,AWAY,1.0599999999999996
Kelly Olynyk,Utah Jazz,13.83,HOME,14.88,AWAY,1.0500000000000007
Nate Hinton,Houston Rockets,3.54,HOME,2.5,AWAY,1.04
Dean Wade,Cleveland Cavaliers,8.96,HOME,7.93,AWAY,1.0300000000000011
Dalano Banton,Boston Celtics,2.4,HOME,3.43,AWAY,1.0300000000000002
Luka Garza,Minnesota Timberwolves,3.07,HOME,4.1,AWAY,1.0299999999999998
Caris LeVert,Cleveland Cavaliers,14.97,HOME,16.0,AWAY,1.0299999999999994
KJ Martin,Philadelphia 76ers,5.67,HOME,4.65,AWAY,1.0199999999999996
Trey Lyles,Sacramento Kings,9.9,HOME,8.89,AWAY,1.0099999999999998
Jalen Johnson,Atlanta Hawks,21.27,HOME,22.27,AWAY,1.0
Danilo Gallinari,Detroit Pistons,11.0,HOME,12.0,AWAY,1.0
Adama Sanogo,Chicago Bulls,5.33,HOME,6.33,AWAY,1.0
Sidy Cissoko,San Antonio Spurs,4.83,HOME,5.83,AWAY,1.0
Usman Garuba,Golden State Warriors,0.5,HOME,1.5,AWAY,1.0
Seth Lundy,Atlanta Hawks,1.33,HOME,0.33,AWAY,1.0
Filip Petrusev,Sacramento Kings,0.0,HOME,1.0,AWAY,1.0
Miles McBride,New York Knicks,7.61,HOME,8.6,AWAY,0.9899999999999993
Dereck Lively II,Dallas Mavericks,16.29,HOME,15.3,AWAY,0.9899999999999984
Grant Williams,Dallas Mavericks,8.67,HOME,9.65,AWAY,0.9800000000000004
Jordan Goodwin,Phoenix Suns,7.41,HOME,6.43,AWAY,0.9800000000000004
Oshae Brissett,Boston Celtics,5.95,HOME,4.97,AWAY,0.9800000000000004
Wendell Moore Jr.,Minnesota Timberwolves,1.47,HOME,0.5,AWAY,0.97
Norman Powell,LA Clippers,11.37,HOME,12.33,AWAY,0.9600000000000009
Jalen McDaniels,Toronto Raptors,3.38,HOME,2.42,AWAY,0.96
Danilo Gallinari,Milwaukee Bucks,3.33,HOME,2.38,AWAY,0.9500000000000002
Evan Mobley,Cleveland Cavaliers,22.73,HOME,23.67,AWAY,0.9400000000000013
Tre Mann,Charlotte Hornets,16.0,HOME,15.06,AWAY,0.9399999999999995
Taurean Prince,Los Angeles Lakers,8.83,HOME,9.77,AWAY,0.9399999999999995
Ashton Hagans,Portland Trail Blazers,6.23,HOME,7.17,AWAY,0.9399999999999995
Colby Jones,Sacramento Kings,2.08,HOME,3.0,AWAY,0.9199999999999999
Gary Trent Jr.,Toronto Raptors,10.97,HOME,11.89,AWAY,0.9199999999999999
Jonathan Isaac,Orlando Magic,9.96,HOME,10.87,AWAY,0.9099999999999984
Jock Landale,Houston Rockets,7.9,HOME,7.0,AWAY,0.9000000000000004
Cole Anthony,Orlando Magic,11.72,HOME,12.62,AWAY,0.8999999999999986
Luke Kennard,Memphis Grizzlies,12.47,HOME,11.59,AWAY,0.8800000000000008
Dwight Powell,Dallas Mavericks,7.71,HOME,6.83,AWAY,0.8799999999999999
Jeremy Sochan,San Antonio Spurs,15.06,HOME,14.2,AWAY,0.8600000000000012
Derrick Jones Jr.,Dallas Mavericks,9.95,HOME,9.09,AWAY,0.8599999999999994
Luguentz Dort,Oklahoma City Thunder,11.03,HOME,11.88,AWAY,0.8500000000000014
Grant Williams,Charlotte Hornets,16.23,HOME,15.38,AWAY,0.8499999999999996
Zion Williamson,New Orleans Pelicans,23.55,HOME,24.39,AWAY,0.8399999999999999
Simone Fontecchio,Utah Jazz,9.29,HOME,10.12,AWAY,0.8300000000000001
Alec Burks,New York Knicks,3.69,HOME,2.86,AWAY,0.8300000000000001
Johnny Davis,Washington Wizards,3.06,HOME,3.89,AWAY,0.8300000000000001
Jalen Pickett,Denver Nuggets,1.46,HOME,2.29,AWAY,0.8300000000000001
Daniel Gafford,Washington Wizards,20.12,HOME,19.3,AWAY,0.8200000000000003
Nate Williams,Houston Rockets,3.44,HOME,2.62,AWAY,0.8199999999999998
Brandin Podziemski,Golden State Warriors,14.16,HOME,13.36,AWAY,0.8000000000000007
Jay Huff,Denver Nuggets,2.1,HOME,1.3,AWAY,0.8
Nick Smith Jr.,Charlotte Hornets,4.26,HOME,5.05,AWAY,0.79
AJ Lawson,Dallas Mavericks,2.74,HOME,3.53,AWAY,0.7899999999999996
Neemias Queta,Boston Celtics,10.17,HOME,9.38,AWAY,0.7899999999999991
Immanuel Quickley,New York Knicks,13.5,HOME,12.71,AWAY,0.7899999999999991
Anthony Davis,Los Angeles Lakers,33.97,HOME,33.19,AWAY,0.7800000000000011
Kevon Looney,Golden State Warriors,10.88,HOME,10.1,AWAY,0.7800000000000011
Gary Harris,Orlando Magic,7.08,HOME,7.86,AWAY,0.7800000000000002
Saddiq Bey,Atlanta Hawks,15.24,HOME,14.47,AWAY,0.7699999999999996
Patrick Williams,Chicago Bulls,11.14,HOME,10.38,AWAY,0.7599999999999998
Jordan Ford,Sacramento Kings,2.5,HOME,1.75,AWAY,0.75
Lauri Markkanen,Utah Jazz,24.85,HOME,24.1,AWAY,0.75
Mike Muscala,Oklahoma City Thunder,1.89,HOME,1.14,AWAY,0.75
Domantas Sabonis,Sacramento Kings,32.28,HOME,33.02,AWAY,0.740000000000002
Danilo Gallinari,Washington Wizards,8.17,HOME,7.43,AWAY,0.7400000000000002
Mason Plumlee,LA Clippers,9.88,HOME,9.14,AWAY,0.7400000000000002
Kessler Edwards,Sacramento Kings,2.36,HOME,1.62,AWAY,0.7399999999999998
Cameron Payne,Milwaukee Bucks,7.32,HOME,6.59,AWAY,0.7300000000000004
Justin Minaya,Portland Trail Blazers,3.0,HOME,2.29,AWAY,0.71
James Bouknight,Charlotte Hornets,3.33,HOME,2.62,AWAY,0.71
Donte DiVincenzo,New York Knicks,14.68,HOME,15.38,AWAY,0.7000000000000011
Jacob Gilyard,Memphis Grizzlies,7.53,HOME,6.83,AWAY,0.7000000000000002
Bryce McGowens,Charlotte Hornets,5.53,HOME,4.85,AWAY,0.6800000000000006
Hunter Tyson,Denver Nuggets,0.62,HOME,1.3,AWAY,0.68
Derrick White,Boston Celtics,18.43,HOME,19.11,AWAY,0.6799999999999997
Andrew Funk,Chicago Bulls,-0.67,HOME,0.0,AWAY,0.67
Isaiah Joe,Oklahoma City Thunder,8.89,HOME,8.22,AWAY,0.6699999999999999
Peyton Watson,Denver Nuggets,8.15,HOME,8.82,AWAY,0.6699999999999999
Dyson Daniels,New Orleans Pelicans,10.38,HOME,9.72,AWAY,0.6600000000000001
Jett Howard,Orlando Magic,1.57,HOME,0.91,AWAY,0.66
Alex Len,Sacramento Kings,5.22,HOME,5.87,AWAY,0.6500000000000004
Dennis Schroder,Toronto Raptors,15.82,HOME,15.17,AWAY,0.6500000000000004
