PLAYER_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,HEADSHOT_URL
1631298,Jack White,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631298.png
1641727,Dariq Whitehead,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/1641727.png
1641715,Cam Whitmore,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1641715.png
1630598,Aaron Wiggins,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png
203952,Andrew Wiggins,1610612744,GSW,https://cdn.nba.com/headshots/nba/latest/1040x760/203952.png
1629623,Lindell Wigginton,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629623.png
1631214,Alondes Williams,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/1631214.png
1630314,Brandon Williams,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1630314.png
1629684,Grant Williams,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1629684.png
1631114,Jalen Williams,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1631114.png
1631119,Jaylin Williams,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1631119.png
1629026,Kenrich Williams,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1629026.png
1642013,Malik Williams,1610612761,TOR,https://cdn.nba.com/headshots/nba/latest/1040x760/1642013.png
1631109,Mark Williams,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1631109.png
1631466,Nate Williams,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1631466.png
1630172,Patrick Williams,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1630172.png
1630533,Ziaire Williams,1610612763,MEM,https://cdn.nba.com/headshots/nba/latest/1040x760/1630533.png
1629057,Robert Williams III,1610612757,POR,https://cdn.nba.com/headshots/nba/latest/1040x760/1629057.png
1631246,Vince Williams Jr.,1610612763,MEM,https://cdn.nba.com/headshots/nba/latest/1040x760/1631246.png
1629627,Zion Williamson,1610612740,NOP,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png
1628391,D.J. Wilson,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628391.png
1630592,Jalen Wilson,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/1630592.png
1629685,Dylan Windler,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629685.png
1630164,James Wiseman,1610612765,DET,https://cdn.nba.com/headshots/nba/latest/1040x760/1630164.png
1631209,Isaiah Wong,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1631209.png
1626174,Christian Wood,1610612747,LAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1626174.png
1626153,Delon Wright,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/1626153.png
201152,Thaddeus Young,1610612756,PHX,https://cdn.nba.com/headshots/nba/latest/1040x760/201152.png
1629027,Trae Young,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png
1630209,Omer Yurtseven,1610612762,UTA,https://cdn.nba.com/headshots/nba/latest/1040x760/1630209.png
203469,Cody Zeller,1610612740,NOP,https://cdn.nba.com/headshots/nba/latest/1040x760/203469.png
1627826,Ivica Zubac,1610612746,LAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1627826.png
