SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,PlayerID,PlayerName
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300163,2024-04-26T00:00:00,MIN @ PHX,W,33.1,4,10,0.4,4,10,0.4,4,4,1.0,1,1,2,5,1,0,0,1,5,2,16,23,24.9,0,0,27.0,1,1,1,1,2,4,3,6,1,1,5,1,1,1,2,7,5,1,4,6,5,12,16,2,2,2,4,1,1,4,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300162,2024-04-23T00:00:00,MIN vs. PHX,W,30.95,4,10,0.4,1,4,0.25,1,1,1.0,0,2,2,5,1,1,0,0,2,1,10,14,21.9,0,0,20.0,1,1,1,1,4,4,3,6,7,10,7,4,4,1,5,4,5,1,4,4,5,1,10,4,5,4,5,1,1,5,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300161,2024-04-20T00:00:00,MIN vs. PHX,W,28.75,7,12,0.583,4,9,0.444,0,0,0.0,1,3,4,2,1,4,0,0,2,0,18,28,36.8,0,0,36.0,1,1,1,1,6,1,1,2,1,2,4,6,6,6,2,2,2,7,4,1,5,1,10,9,1,1,1,1,1,1,1,1629638,Nickeil Alexander-Walker
2023-24,1628960,Grayson Allen,Grayson,1610612756,PHX,Phoenix Suns,0042300162,2024-04-23T00:00:00,PHX @ MIN,L,17.45,1,2,0.5,1,2,0.5,0,0,0.0,1,2,3,0,1,1,0,0,2,0,3,3,8.6,0,0,9.0,1,1,1,1,2,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,2,1,1628960,Grayson Allen
2023-24,1628960,Grayson Allen,Grayson,1610612756,PHX,Phoenix Suns,0042300161,2024-04-20T00:00:00,PHX @ MIN,L,25.2,0,3,0.0,0,3,0.0,4,4,1.0,1,4,5,2,2,0,0,0,2,3,4,-6,11.0,0,0,11.0,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1628960,Grayson Allen
2023-24,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0042300134,2024-04-27T00:00:00,CLE @ ORL,L,28.65,8,11,0.727,0,0,0.0,5,7,0.714,0,9,9,0,1,1,0,0,1,5,21,-10,33.8,0,0,32.0,1,3,3,3,3,1,1,2,1,1,1,1,2,2,4,3,3,3,3,3,3,1,1,3,1,3,3,3,1,3,1,1628386,Jarrett Allen
2023-24,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0042300133,2024-04-25T00:00:00,CLE @ ORL,L,24.316666666666666,5,6,0.833,0,0,0.0,5,5,1.0,3,5,8,0,2,0,1,0,2,7,15,-20,25.6,0,0,25.0,1,3,3,3,4,4,4,1,1,1,1,1,4,1,2,4,4,3,1,4,2,1,3,2,4,4,4,3,1,4,1,1628386,Jarrett Allen
2023-24,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0042300132,2024-04-22T00:00:00,CLE vs. ORL,W,38.81666666666667,6,10,0.6,0,0,0.0,4,8,0.5,9,11,20,3,2,2,3,1,4,8,16,12,57.5,1,0,49.0,1,1,1,1,1,2,2,3,1,1,1,3,1,4,1,2,1,1,1,1,1,3,4,1,2,1,1,1,1,1,1,1628386,Jarrett Allen
2023-24,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0042300131,2024-04-20T00:00:00,CLE vs. ORL,W,35.18,6,10,0.6,0,0,0.0,4,6,0.667,3,15,18,2,0,2,0,2,1,5,16,10,46.6,1,0,40.0,1,1,1,1,2,2,2,3,1,1,1,3,3,3,2,1,2,2,4,1,3,4,1,3,2,2,2,1,1,2,1,1628386,Jarrett Allen
2023-24,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042300144,2024-04-29T00:00:00,NOP vs. OKC,L,14.716666666666667,1,4,0.25,0,3,0.0,0,0,0.0,0,2,2,4,2,3,1,0,0,1,2,4,20.4,0,0,16.0,1,1,1,1,3,2,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1630631,Jose Alvarado
2023-24,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042300143,2024-04-27T00:00:00,NOP vs. OKC,L,10.773333333333333,0,4,0.0,0,4,0.0,0,0,0.0,0,1,1,2,0,1,0,0,2,1,0,-2,7.2,0,0,5.0,1,1,1,1,4,3,3,3,2,1,2,1,1,1,1,2,2,2,4,2,2,1,4,1,3,2,3,1,1,3,1,1630631,Jose Alvarado
2023-24,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042300142,2024-04-24T00:00:00,NOP @ OKC,L,16.783333333333335,0,5,0.0,0,3,0.0,0,0,0.0,0,1,1,2,1,0,0,0,1,0,0,-17,3.2,0,0,3.0,1,1,1,1,2,3,2,3,2,3,2,1,1,1,1,2,2,2,2,4,2,1,3,3,3,4,4,1,1,4,1,1630631,Jose Alvarado
2023-24,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042300141,2024-04-21T00:00:00,NOP @ OKC,L,19.366666666666667,2,7,0.286,1,4,0.25,0,0,0.0,0,0,0,1,1,1,0,1,0,0,5,-6,8.5,0,0,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,2,2,4,1,3,1,3,2,1,1,2,1,1630631,Jose Alvarado
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300315,2024-05-30T00:00:00,MIN vs. DAL,L,32.583333333333336,3,9,0.333,1,4,0.25,0,0,0.0,1,2,3,3,1,1,1,1,2,1,7,-13,20.1,0,0,18.0,1,9,9,9,1,3,1,10,1,1,2,5,5,5,5,4,5,4,4,4,2,12,8,5,3,13,4,1,1,2,1,203937,Kyle Anderson
